item_name,price,condition,warranty_months
cell phone,11564.0,2,11
cell phone,15541.0,3,15
cell phone,5360.0,5,15
cell phone,13656.0,4,12
cell phone,4033.0,1,15
cell phone,7644.0,3,20
cell phone,17488.0,1,6
cell phone,9478.0,3,2
cell phone,11179.0,1,24
cell phone,10322.0,4,9
cell phone,6541.0,1,9
cell phone,8389.0,4,18
cell phone,16574.0,4,16
cell phone,4304.0,3,15
cell phone,17677.0,4,18
cell phone,7993.0,4,24
cell phone,6961.0,2,16
cell phone,8002.0,3,7
cell phone,18269.0,1,10
cell phone,8184.0,4,17
cell phone,13846.0,1,16
cell phone,11502.0,2,21
cell phone,12168.0,1,22
cell phone,14524.0,2,5
cell phone,8591.0,1,21
cell phone,12670.0,4,22
cell phone,15054.0,1,15
cell phone,14169.0,4,23
cell phone,16220.0,2,7
cell phone,13535.0,1,21
cell phone,14356.0,2,21
cell phone,15267.0,4,18
cell phone,7487.0,2,24
cell phone,9596.0,4,16
cell phone,10595.0,4,11
cell phone,3290.0,3,2
cell phone,15895.0,4,11
cell phone,9836.0,1,14
cell phone,13890.0,3,3
cell phone,13513.0,1,16
cell phone,15413.0,3,5
cell phone,7966.0,5,0
cell phone,12664.0,5,21
cell phone,10902.0,5,17
cell phone,11026.0,2,23
cell phone,16358.0,5,1
cell phone,12994.0,3,14
cell phone,2000.0,3,7
cell phone,10033.0,2,22
cell phone,5550.0,1,9
cell phone,16361.0,3,9
cell phone,7373.0,3,24
cell phone,9241.0,1,3
cell phone,8952.0,4,9
cell phone,2545.0,3,22
cell phone,9445.0,3,2
laptop,31849.0,4,0
laptop,31607.0,2,9
laptop,14213.0,4,7
laptop,26609.0,1,17
laptop,25146.0,5,5
laptop,26060.0,2,19
laptop,25911.0,2,22
laptop,8000.0,3,4
laptop,35284.0,4,8
laptop,25407.0,1,22
laptop,29376.0,1,0
laptop,38818.0,3,0
laptop,10733.0,5,20
laptop,33798.0,5,21
laptop,31929.0,1,0
laptop,8000.0,3,6
laptop,52288.0,1,3
laptop,26650.0,2,12
laptop,43831.0,1,17
laptop,49932.0,4,23
laptop,11912.0,2,17
laptop,38150.0,5,4
laptop,61833.0,1,7
laptop,29286.0,3,5
laptop,36772.0,3,9
laptop,42447.0,1,23
laptop,39174.0,5,4
laptop,33714.0,2,7
laptop,35495.0,2,5
laptop,37618.0,4,4
laptop,8000.0,3,23
laptop,32495.0,4,23
laptop,30900.0,4,19
laptop,36125.0,3,12
laptop,27557.0,1,13
laptop,8000.0,3,23
laptop,29861.0,3,21
laptop,50271.0,2,5
laptop,28935.0,1,18
laptop,54568.0,2,2
laptop,24773.0,2,23
laptop,25319.0,3,20
laptop,8000.0,2,7
laptop,41216.0,4,5
laptop,35735.0,1,15
laptop,37179.0,1,17
laptop,37119.0,3,18
laptop,37073.0,4,22
laptop,45118.0,1,3
laptop,23663.0,1,24
laptop,22379.0,2,1
laptop,23785.0,2,14
laptop,20374.0,1,13
backpack,1642.0,3,18
backpack,1388.0,1,11
backpack,667.0,2,3
backpack,1571.0,1,18
backpack,2742.0,4,12
backpack,1984.0,4,6
backpack,968.0,3,24
backpack,2143.0,4,9
backpack,1265.0,1,6
backpack,1827.0,1,21
backpack,808.0,4,12
backpack,1674.0,1,8
backpack,2438.0,4,19
backpack,1727.0,3,16
backpack,1089.0,5,18
backpack,949.0,1,19
backpack,905.0,4,8
backpack,2362.0,2,16
backpack,2446.0,3,14
backpack,1478.0,1,1
backpack,2153.0,3,19
backpack,1961.0,1,7
backpack,1949.0,5,5
backpack,1652.0,1,1
backpack,1188.0,2,9
backpack,1283.0,2,10
backpack,1054.0,3,19
backpack,626.0,4,2
backpack,1834.0,4,21
backpack,1553.0,2,5
backpack,1073.0,3,15
backpack,2279.0,1,13
backpack,1674.0,1,23
backpack,1604.0,5,15
backpack,1600.0,4,19
backpack,1743.0,5,6
backpack,1759.0,3,10
backpack,777.0,5,19
backpack,1085.0,4,19
backpack,1732.0,3,4
backpack,1544.0,5,0
backpack,2509.0,2,20
backpack,1241.0,2,19
backpack,2018.0,5,23
backpack,1292.0,3,21
backpack,633.0,5,20
backpack,1128.0,2,21
backpack,2057.0,2,5
backpack,1336.0,2,10
backpack,1810.0,3,21
backpack,2246.0,2,17
backpack,2706.0,1,8
backpack,1502.0,4,6
backpack,300.0,2,20
backpack,2289.0,5,1
backpack,2760.0,5,22
backpack,830.0,5,20
backpack,2642.0,4,11
backpack,889.0,3,21
backpack,1047.0,4,4
backpack,1305.0,3,2
backpack,1615.0,4,13
backpack,1867.0,3,1
backpack,1365.0,3,1
backpack,1006.0,3,19
book,271.0,2,3
book,207.0,1,10
book,50.0,5,12
book,451.0,4,6
book,484.0,2,12
book,222.0,3,0
book,199.0,3,17
book,255.0,5,14
book,328.0,2,16
book,380.0,4,24
book,237.0,3,20
book,482.0,2,8
book,276.0,5,17
book,537.0,5,6
book,311.0,3,5
book,377.0,1,15
book,178.0,4,21
book,390.0,3,13
book,289.0,4,7
book,263.0,5,18
book,470.0,1,23
book,182.0,5,10
book,213.0,5,0
book,352.0,5,3
book,210.0,3,18
book,204.0,1,0
book,302.0,4,0
book,241.0,1,21
book,308.0,4,22
book,115.0,5,16
book,319.0,3,6
book,292.0,2,14
book,171.0,2,11
book,219.0,1,16
book,454.0,5,19
book,243.0,2,17
book,360.0,4,20
book,232.0,5,1
book,98.0,3,13
book,59.0,2,13
